Handle,Title,Variant SKU,Body (HTML),Vendor,Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Cost per item,Included / United States,Category,Category handle,Sub-category,Sub-category handle,Collection,Metafield: game_stats.players [single_line_text_field],Metafield: game_stats.time [single_line_text_field],Metafield: game_stats.age [single_line_text_field],Metafield: game_stats.baby_cthulhus [number_integer],Metafield: game_stats.game_type [single_line_text_field],Metafield: game_stats.theme [single_line_text_field],Status,Game Line,Game Line Handle
100-glow-skulls,100 Glow Skulls,OMD-Glow,100 Glow Skulls100 glow in the dark skulls for Orcs Must Die!This expansion enhances your gaming experience with new strategic options and high-quality components.,Petersen Games,Orcs Must Die!,"Orcs Must Die!, cooperative,strategy,tactical,tower-defense,expansion,category-accessories,subcategory-tokens-markers",TRUE,,,,,,,50,shopify,10,deny,manual,4.99,9.99,TRUE,TRUE,N/A,https://petersengames.com/wp-content/uploads/2019/03/OMD-100-Glow-Skulls.jpg,1,100 Glow Skulls,FALSE,100 Glow Skulls | Petersen Games,100 Glow Skulls100 glow in the dark skulls for Orcs Must Die!This expansion enhances your gaming experience with new strategic options and high-quality componen...,,,,TRUE,Bling & Accessories,category-accessories,Tokens & Markers,subcategory-tokens-markers,expansions,n/a,n/a,n/a,n/a,Tower Defense Co-op,Fantasy,active,Orcs Must Die!,orcs-must-die
20-extra-battle-dice,20 Extra Battle Dice,CW-E13,20 Extra Battle DiceCustom Engraved Battle DiceThis expansion enhances your gaming experience with new strategic options and high-quality components.,Petersen Games,Cthulhu Wars,"Cthulhu Wars, asymmetric,strategy,cosmic-horror,lovecraftian,horror,expansion,dice,accessories,category-accessories,subcategory-dice-sets",TRUE,,,,,,,110,shopify,10,deny,manual,9.99,14.99,TRUE,TRUE,793611930407,https://petersengames.com/wp-content/uploads/2019/03/20-Battle-Dice.jpg,1,20 Extra Battle Dice,FALSE,20 Extra Battle Dice | Petersen Games,20 Extra Battle DiceCustom Engraved Battle DiceThis expansion enhances your gaming experience with new strategic options and high-quality components....,,,,TRUE,Bling & Accessories,category-accessories,Dice Sets,subcategory-dice-sets,cthulhu-wars,n/a,n/a,n/a,n/a,Asymmetric Strategy,Cosmic Horror,active,Cthulhu Wars,cthulhu-wars
3mm-doom-and-ritual-tracks,3mm Doom and Ritual Tracks,CW-E17,This includes the Doom Track and all Ritual of Annihilation Tracks for 3-8 players all in 3mm punchboard material.,Petersen Games,Cthulhu Wars,"Cthulhu Wars, asymmetric,strategy,cosmic-horror,lovecraftian,horror,expansion,category-accessories,subcategory-deluxe-upgrade",TRUE,,,,,,,300,shopify,10,deny,manual,9.99,14.99,TRUE,TRUE,793611932388,https://petersengames.com/wp-content/uploads/2019/03/3mm-Doom-and-Ritual-Tracks.jpg,1,3mm Doom and Ritual Tracks,FALSE,3mm Doom and Ritual Tracks | Petersen Games,This includes the Doom Track and all Ritual of Annihilation Tracks for 3-8 players all in 3mm punchboard material.,,,,TRUE,Bling & Accessories,category-accessories,Deluxe Upgrade,subcategory-deluxe-upgrade,cthulhu-wars,n/a,n/a,n/a,n/a,Asymmetric Strategy,Cosmic Horror,active,Cthulhu Wars,cthulhu-wars
3mm-doom-and-ritual-tracks-vf,3mm Doom and Ritual Tracks (VF),CW-VF-E17,This includes the Doom Track and all Ritual of Annihilation Tracks for 3-8 players all in 3mm punchboard material. French Edition.,Petersen Games,Cthulhu Wars,"Cthulhu Wars, asymmetric,strategy,cosmic-horror,lovecraftian,horror,expansion,category-accessories,subcategory-deluxe-upgrade",TRUE,,,,,,,290,shopify,10,deny,manual,9.99,19.99,TRUE,TRUE,N/A,https://petersengames.com/wp-content/uploads/2020/04/CW-VF-E17-3mm-Doom-and-Ritual-Tracks.jpg,1,3mm Doom and Ritual Tracks (VF),FALSE,3mm Doom and Ritual Tracks (VF) | Petersen Games,This includes the Doom Track and all Ritual of Annihilation Tracks for 3-8 players all in 3mm punchboard material. French Edition.,,,,TRUE,Bling & Accessories,category-accessories,Deluxe Upgrade,subcategory-deluxe-upgrade,cthulhu-wars,n/a,n/a,n/a,n/a,Asymmetric Strategy,Cosmic Horror,active,Cthulhu Wars,cthulhu-wars
3mm-faction-card-pack-o1,3mm Faction Card Pack O1,CW-E10,3mm Faction Card Pack O1Original 7 Cthulhu Wars Faction Cards in 3mm punchboard material (Onslaught 2 edition)This expansion enhances your gaming experience with new strategic options and high-quality components.,Petersen Games,Cthulhu Wars,"Cthulhu Wars, asymmetric,strategy,cosmic-horror,lovecraftian,horror,expansion,category-accessories,subcategory-deluxe-upgrade",TRUE,,,,,,,730,shopify,10,deny,manual,9.99,9.99,TRUE,TRUE,N/A,https://petersengames.com/wp-content/uploads/2019/03/Thick-Punchboard-Faction-Cards.jpg,1,3mm Faction Card Pack O1,FALSE,3mm Faction Card Pack O1 | Petersen Games,3mm Faction Card Pack O1Original 7 Cthulhu Wars Faction Cards in 3mm punchboard material (Onslaught 2 edition)This expansion enhances your gaming experience wit...,,,,TRUE,Bling & Accessories,category-accessories,Deluxe Upgrade,subcategory-deluxe-upgrade,cthulhu-wars,n/a,n/a,n/a,n/a,Asymmetric Strategy,Cosmic Horror,active,Cthulhu Wars,cthulhu-wars
3mm-faction-card-pack-o3,3mm Faction Card Pack O3,CW-E10-O3,3mm Faction Card Pack O3Original 7 Cthulhu Wars Faction Cards in 3mm punchboard material (Onslaught 3 edition)This expansion enhances your gaming experience with new strategic options and high-quality components.,Petersen Games,Cthulhu Wars,"Cthulhu Wars, asymmetric,strategy,cosmic-horror,lovecraftian,horror,expansion,category-accessories,subcategory-deluxe-upgrade",TRUE,,,,,,,780,shopify,10,deny,manual,9.99,14.99,TRUE,TRUE,N/A,https://petersengames.com/wp-content/uploads/2019/06/CW-E10-O3.png,1,3mm Faction Card Pack O3,FALSE,3mm Faction Card Pack O3 | Petersen Games,3mm Faction Card Pack O3Original 7 Cthulhu Wars Faction Cards in 3mm punchboard material (Onslaught 3 edition)This expansion enhances your gaming experience wit...,,,,TRUE,Bling & Accessories,category-accessories,Deluxe Upgrade,subcategory-deluxe-upgrade,cthulhu-wars,n/a,n/a,n/a,n/a,Asymmetric Strategy,Cosmic Horror,active,Cthulhu Wars,cthulhu-wars
3mm-faction-card-pack-o4,3mm Faction Card Pack O4,CW-E10-O4,3mm Faction Card Pack O4Original 7 Cthulhu Wars Faction Cards in 3mm punchboard material (Onslaught 4 edition)This expansion enhances your gaming experience with new strategic options and high-quality components.,Petersen Games,Cthulhu Wars,"Cthulhu Wars, asymmetric,strategy,cosmic-horror,lovecraftian,horror,expansion,category-accessories,subcategory-deluxe-upgrade",TRUE,,,,,,,760,shopify,10,deny,manual,9.99,14.99,TRUE,TRUE,793611932357,https://petersengames.com/wp-content/uploads/2023/05/CW-E10-O4.png,1,3mm Faction Card Pack O4,FALSE,3mm Faction Card Pack O4 | Petersen Games,3mm Faction Card Pack O4Original 7 Cthulhu Wars Faction Cards in 3mm punchboard material (Onslaught 4 edition)This expansion enhances your gaming experience wit...,,,,TRUE,Bling & Accessories,category-accessories,Deluxe Upgrade,subcategory-deluxe-upgrade,cthulhu-wars,n/a,n/a,n/a,n/a,Asymmetric Strategy,Cosmic Horror,active,Cthulhu Wars,cthulhu-wars
3mm-faction-card-pack-vf,3mm Faction Card Pack (VF),CW-VF-E10,Original 7 Cthulhu Wars Faction Cards in 3mm punchboard material (Onslaught 2 edition). French Edition.,Petersen Games,Cthulhu Wars,"Cthulhu Wars, asymmetric,strategy,cosmic-horror,lovecraftian,horror,expansion,category-accessories,subcategory-deluxe-upgrade",TRUE,,,,,,,730,shopify,10,deny,manual,9.99,14.99,TRUE,TRUE,N/A,https://petersengames.com/wp-content/uploads/2020/04/CW-VF-E10-Thick-Punchboard-Faction-Cards-O3-300x300-1.jpg,1,3mm Faction Card Pack (VF),FALSE,3mm Faction Card Pack (VF) | Petersen Games,Original 7 Cthulhu Wars Faction Cards in 3mm punchboard material (Onslaught 2 edition). French Edition.,,,,TRUE,Bling & Accessories,category-accessories,Deluxe Upgrade,subcategory-deluxe-upgrade,cthulhu-wars,n/a,n/a,n/a,n/a,Asymmetric Strategy,Cosmic Horror,active,Cthulhu Wars,cthulhu-wars
6-8-player-dreamlands-map,6-8 Player Dreamlands Map,CW-M7,6-8 Player Dreamlands MapAllows play up to 8 players. You need the normal Dreamlands Map expansion to use this!This expansion enhances your gaming experience with new strategic options and high-quality components.,Petersen Games,Cthulhu Wars,"Cthulhu Wars, asymmetric,strategy,cosmic-horror,lovecraftian,horror,expansion,category-expansions,subcategory-expansion-packs",TRUE,,,,,,,1250,shopify,10,deny,manual,24.99,29.99,TRUE,TRUE,793611932470,https://petersengames.com/wp-content/uploads/2019/03/6-8-Player-Dreamlands-Map-Boards-6-player.jpg,1,6-8 Player Dreamlands Map,FALSE,6-8 Player Dreamlands Map | Petersen Games,6-8 Player Dreamlands MapAllows play up to 8 players. You need the normal Dreamlands Map expansion to use this!This expansion enhances your gaming experience wi...,,,,TRUE,Game Expansions,category-expansions,Expansion Packs,subcategory-expansion-packs,cthulhu-wars,6-8 players,n/a,n/a,n/a,Asymmetric Strategy,Cosmic Horror,active,Cthulhu Wars,cthulhu-wars
6-8-player-earth-map,6-8 Player Earth Map,CW-M4,6-8 Player Earth MapEarth map allows play up to 8 players!This expansion enhances your gaming experience with new strategic options and high-quality components.,Petersen Games,Cthulhu Wars,"Cthulhu Wars, asymmetric,strategy,cosmic-horror,lovecraftian,horror,expansion,category-expansions,subcategory-expansion-packs",TRUE,,,,,,,1300,shopify,10,deny,manual,24.99,29.99,TRUE,TRUE,680569977748,https://petersengames.com/wp-content/uploads/2019/03/Map-Boards-of-Earth.jpg,1,6-8 Player Earth Map,FALSE,6-8 Player Earth Map | Petersen Games,6-8 Player Earth MapEarth map allows play up to 8 players!This expansion enhances your gaming experience with new strategic options and high-quality components....,,,,TRUE,Game Expansions,category-expansions,Expansion Packs,subcategory-expansion-packs,cthulhu-wars,6-8 players,n/a,n/a,n/a,Asymmetric Strategy,Cosmic Horror,active,Cthulhu Wars,cthulhu-wars
